,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
360,0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,audio_features,1olWQ1LOUYs4VBwx5N8Lz9,spotify:track:1olWQ1LOUYs4VBwx5N8Lz9,https://api.spotify.com/v1/tracks/1olWQ1LOUYs4VBwx5N8Lz9,https://api.spotify.com/v1/audio-analysis/1olWQ1LOUYs4VBwx5N8Lz9,225827,4
361,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,audio_features,58pTPJPBjw1xL9OcLcQczU,spotify:track:58pTPJPBjw1xL9OcLcQczU,https://api.spotify.com/v1/tracks/58pTPJPBjw1xL9OcLcQczU,https://api.spotify.com/v1/audio-analysis/58pTPJPBjw1xL9OcLcQczU,227196,4
362,0.696,0.555,11,-7.035,1,0.0353,0.0603,0.0,0.175,0.577,104.989,audio_features,6vsa5VDsIaWC8oJnowU65l,spotify:track:6vsa5VDsIaWC8oJnowU65l,https://api.spotify.com/v1/tracks/6vsa5VDsIaWC8oJnowU65l,https://api.spotify.com/v1/audio-analysis/6vsa5VDsIaWC8oJnowU65l,191627,4
363,0.611,0.629,0,-5.928,0,0.0368,0.375,0.0,0.0942,0.553,142.986,audio_features,2tva3AvqXjPsMMLHknGGwe,spotify:track:2tva3AvqXjPsMMLHknGGwe,https://api.spotify.com/v1/tracks/2tva3AvqXjPsMMLHknGGwe,https://api.spotify.com/v1/audio-analysis/2tva3AvqXjPsMMLHknGGwe,200893,4
364,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,6UoKX6uLJwhsnyTp5k5StP,spotify:track:6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/tracks/6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/audio-analysis/6UoKX6uLJwhsnyTp5k5StP,211413,4
365,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293,4
366,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,audio_features,2rxQMGVafnNaRaXlRMWPde,spotify:track:2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,193200,4
367,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,3qXsX3mYSsD1DmAvc3PE3N,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/tracks/3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/audio-analysis/3qXsX3mYSsD1DmAvc3PE3N,229627,4
368,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693,4
369,0.386,0.446,11,-7.807,1,0.0297,0.252,0.0,0.18,0.4,179.995,audio_features,0Sbeihd75SGitymHS8Bqbh,spotify:track:0Sbeihd75SGitymHS8Bqbh,https://api.spotify.com/v1/tracks/0Sbeihd75SGitymHS8Bqbh,https://api.spotify.com/v1/audio-analysis/0Sbeihd75SGitymHS8Bqbh,191187,3
370,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4
371,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800,4
372,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,audio_features,0QULNNd9z5s35entfiiXoa,spotify:track:0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/tracks/0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/audio-analysis/0QULNNd9z5s35entfiiXoa,245626,4
373,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,audio_features,3xdjjKMcMOFgo1eQrfbogM,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,298373,4
374,0.597,0.82,5,-2.529,1,0.0582,0.0328,0.0,0.119,0.576,119.969,audio_features,6OqdF0vHI9xkqswI7EK0cD,spotify:track:6OqdF0vHI9xkqswI7EK0cD,https://api.spotify.com/v1/tracks/6OqdF0vHI9xkqswI7EK0cD,https://api.spotify.com/v1/audio-analysis/6OqdF0vHI9xkqswI7EK0cD,236787,4
375,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
376,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
377,0.607,0.514,4,-6.631,1,0.0323,0.363,0.0,0.258,0.414,75.978,audio_features,1kFpL1itkwkdhO6kcmNJra,spotify:track:1kFpL1itkwkdhO6kcmNJra,https://api.spotify.com/v1/tracks/1kFpL1itkwkdhO6kcmNJra,https://api.spotify.com/v1/audio-analysis/1kFpL1itkwkdhO6kcmNJra,188291,4
378,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4
379,0.591,0.703,10,-6.211,1,0.0256,0.0435,2.34e-06,0.145,0.402,95.993,audio_features,0B0y2FImat9j9MJTNRZWfW,spotify:track:0B0y2FImat9j9MJTNRZWfW,https://api.spotify.com/v1/tracks/0B0y2FImat9j9MJTNRZWfW,https://api.spotify.com/v1/audio-analysis/0B0y2FImat9j9MJTNRZWfW,247827,4
380,0.587,0.523,11,-6.2,1,0.0272,0.497,0.0055,0.102,0.182,137.94,audio_features,6jhLdxpo93lXFaJwX7znaa,spotify:track:6jhLdxpo93lXFaJwX7znaa,https://api.spotify.com/v1/tracks/6jhLdxpo93lXFaJwX7znaa,https://api.spotify.com/v1/audio-analysis/6jhLdxpo93lXFaJwX7znaa,249613,4
381,0.51,0.644,6,-5.567,1,0.0341,0.0821,0.0,0.191,0.293,76.001,audio_features,0KNvJzxdbslBddN27BEhfm,spotify:track:0KNvJzxdbslBddN27BEhfm,https://api.spotify.com/v1/tracks/0KNvJzxdbslBddN27BEhfm,https://api.spotify.com/v1/audio-analysis/0KNvJzxdbslBddN27BEhfm,217680,4
382,0.435,0.836,2,-3.523,1,0.0454,0.136,0.0,0.111,0.575,157.989,audio_features,6udBM5TJkTp1uupH4Y5ReF,spotify:track:6udBM5TJkTp1uupH4Y5ReF,https://api.spotify.com/v1/tracks/6udBM5TJkTp1uupH4Y5ReF,https://api.spotify.com/v1/audio-analysis/6udBM5TJkTp1uupH4Y5ReF,204921,4
383,0.497,0.744,10,-5.567,1,0.0262,0.503,0.0,0.177,0.476,145.872,audio_features,6TJJNHvXSlYzGFSHC5MVha,spotify:track:6TJJNHvXSlYzGFSHC5MVha,https://api.spotify.com/v1/tracks/6TJJNHvXSlYzGFSHC5MVha,https://api.spotify.com/v1/audio-analysis/6TJJNHvXSlYzGFSHC5MVha,211200,4
384,0.402,0.737,11,-4.419,1,0.0382,0.00613,1.08e-06,0.126,0.626,173.818,audio_features,0XWNEv2MhiUqfdyVlQabIi,spotify:track:0XWNEv2MhiUqfdyVlQabIi,https://api.spotify.com/v1/tracks/0XWNEv2MhiUqfdyVlQabIi,https://api.spotify.com/v1/audio-analysis/0XWNEv2MhiUqfdyVlQabIi,213613,4
385,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,audio_features,59kHPbwyyCApYA8RQQEuXm,spotify:track:59kHPbwyyCApYA8RQQEuXm,https://api.spotify.com/v1/tracks/59kHPbwyyCApYA8RQQEuXm,https://api.spotify.com/v1/audio-analysis/59kHPbwyyCApYA8RQQEuXm,148160,4
386,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,audio_features,6leiB1fEsTnVCuPiielde5,spotify:track:6leiB1fEsTnVCuPiielde5,https://api.spotify.com/v1/tracks/6leiB1fEsTnVCuPiielde5,https://api.spotify.com/v1/audio-analysis/6leiB1fEsTnVCuPiielde5,183733,4
387,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,audio_features,6sxptembJVty4sNtcPMAVz,spotify:track:6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/tracks/6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/audio-analysis/6sxptembJVty4sNtcPMAVz,234493,4
388,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,audio_features,1ipcb9qXpSHWhSUvdxJhsx,spotify:track:1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/tracks/1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/audio-analysis/1ipcb9qXpSHWhSUvdxJhsx,212640,4
389,0.607,0.815,4,-6.619,1,0.039,0.0471,2.81e-05,0.111,0.57,136.949,audio_features,6Lmx6bz3PGYuNSjKMnYBOa,spotify:track:6Lmx6bz3PGYuNSjKMnYBOa,https://api.spotify.com/v1/tracks/6Lmx6bz3PGYuNSjKMnYBOa,https://api.spotify.com/v1/audio-analysis/6Lmx6bz3PGYuNSjKMnYBOa,209760,4
390,0.469,0.59,5,-8.601,1,0.051,0.517,1.23e-05,0.0874,0.804,163.173,audio_features,3GOgNvOS69nv122eNjYGUG,spotify:track:3GOgNvOS69nv122eNjYGUG,https://api.spotify.com/v1/tracks/3GOgNvOS69nv122eNjYGUG,https://api.spotify.com/v1/audio-analysis/3GOgNvOS69nv122eNjYGUG,210160,4
391,0.549,0.787,7,-4.461,1,0.0387,0.329,0.0,0.274,0.559,145.944,audio_features,72U86afw7ZhxeNsPo76bxf,spotify:track:72U86afw7ZhxeNsPo76bxf,https://api.spotify.com/v1/tracks/72U86afw7ZhxeNsPo76bxf,https://api.spotify.com/v1/audio-analysis/72U86afw7ZhxeNsPo76bxf,197087,4
392,0.67,0.818,6,-2.714,1,0.0352,0.0689,0.0,0.0759,0.741,89.99,audio_features,515sfGf2gmnr14l5dblnxH,spotify:track:515sfGf2gmnr14l5dblnxH,https://api.spotify.com/v1/tracks/515sfGf2gmnr14l5dblnxH,https://api.spotify.com/v1/audio-analysis/515sfGf2gmnr14l5dblnxH,192390,4
393,0.518,0.733,9,-6.453,1,0.0318,0.441,0.00187,0.318,0.654,134.16,audio_features,2ghjBzkF9XwqBt9nw1GjlO,spotify:track:2ghjBzkF9XwqBt9nw1GjlO,https://api.spotify.com/v1/tracks/2ghjBzkF9XwqBt9nw1GjlO,https://api.spotify.com/v1/audio-analysis/2ghjBzkF9XwqBt9nw1GjlO,205373,4
